
0;100;11.3377059478;11.0018950602;1;(6.4699999999999998, 30, 1)
1;200;9.85276976666;9.38071631662;2;(4.9400000000000004, 25, 1)
2;300;9.85276976666;9.38071631662;2;(1.79, 10, 1)
3;400;9.85276976666;9.38071631662;2;(1.54, 5, 1)
4;500;9.85276976666;9.38071631662;2;(2.3599999999999999, 13, 1)
5;600;9.85276976666;9.38071631662;2;(2.4700000000000002, 30, 1)
6;700;9.85276976666;9.38071631662;2;(2.3100000000000001, 12, 1)
7;800;9.62807826765;9.08467339338;7;(3.1800000000000002, 29, 1)
8;900;9.62807826765;9.08467339338;7;(2.4199999999999999, 9, 1)
9;1000;9.44491034029;8.84086357597;12;(4.1799999999999997, 23, 1)
10;1100;9.29656338445;8.64154984617;17;(6.2400000000000002, 20, 2)
11;1200;9.17832677804;8.48238374642;16;(8.1400000000000006, 33, 2)
12;1300;9.01791043397;8.26259221965;29;(11.85, 29, 2)
13;1400;8.97050886366;8.1968049361;31;(16.989999999999998, 42, 2)
14;1500;8.94204935896;8.15570954594;39;(23.789999999999999, 61, 2)
15;1600;8.94204935896;8.15570954594;39;(30.829999999999998, 66, 4)
16;1700;8.94204935896;8.15570954594;39;(35.909999999999997, 95, 3)
17;1800;8.9309345606;8.13946240128;41;(40.359999999999999, 88, 3)
18;1900;8.9309345606;8.13946240128;41;(39.280000000000001, 95, 5)
19;2000;8.9309345606;8.13946240128;41;(37.960000000000001, 85, 6)
20;2100;8.87139569962;8.06377427081;39;(39.960000000000001, 85, 2)
21;2200;8.87139569962;8.06377427081;39;(39.640000000000001, 75, 2)
22;2300;8.79780364347;7.99311723531;64;(39.270000000000003, 75, 3)
23;2400;8.78317026789;7.96955947448;60;(43.299999999999997, 76, 5)
24;2500;8.46234339543;7.68367784328;61;(50.420000000000002, 83, 1)
25;2600;8.4621020133;7.67403508566;59;(56.670000000000002, 94, 1)
26;2700;8.2616667854;7.51501983823;63;(54.810000000000002, 85, 2)
27;2800;8.2616667854;7.51501983823;63;(56.100000000000001, 110, 2)
28;2900;8.11905237439;7.42859011202;66;(57.560000000000002, 110, 2)
29;3000;8.11684144862;7.4260694584;65;(62.600000000000001, 112, 2)
30;3100;8.1144948556;7.42048584198;67;(68.379999999999995, 131, 2)
