
0;1481182591.41;1481182591.59;0.18;7.98502530116;7.35000940001
1;1481182591.59;1481182591.83;0.24;7.97973582757;7.34382636801
2;1481182591.83;1481182592.09;0.26;7.97714759243;7.34105563627
3;1481182592.09;1481182592.34;0.25;7.94747677118;7.42250993424
4;1481182592.34;1481182592.59;0.25;7.93955606422;7.42224489636
5;1481182592.59;1481182592.83;0.25;7.93917580241;7.4215532246
6;1481182592.83;1481182593.08;0.25;7.91977583971;7.42972380223
7;1481182593.08;1481182593.33;0.25;7.9090930434;7.43397345957
8;1481182593.33;1481182593.58;0.24;7.9090930434;7.43397345957
9;1481182593.58;1481182593.81;0.24;7.87216543708;7.39167325896
10;1481182593.81;1481182594.05;0.23;7.87216543708;7.39167325896
11;1481182594.05;1481182594.28;0.23;7.87204717375;7.39152254177
12;1481182594.28;1481182594.52;0.24;7.86795204741;7.38473362974
13;1481182594.52;1481182594.75;0.23;7.86795204741;7.38473362974
14;1481182594.75;1481182594.99;0.24;7.83970626625;7.34831191802
15;1481182594.99;1481182595.22;0.24;7.83831193313;7.34713109019
16;1481182595.22;1481182595.48;0.26;7.81237935317;7.3189868553
17;1481182595.48;1481182595.76;0.28;7.81177581816;7.31869927513
18;1481182595.76;1481182596.06;0.3;7.79720906665;7.30639798173
19;1481182596.06;1481182596.35;0.29;7.77828788723;7.28653055477
20;1481182596.35;1481182596.64;0.29;7.77828788723;7.28653055477
21;1481182596.64;1481182596.93;0.29;7.77023873744;7.25471718025
22;1481182596.93;1481182597.24;0.31;7.75908217931;7.25367763993
23;1481182597.24;1481182597.57;0.33;7.75170690328;7.24632302879
24;1481182597.57;1481182597.85;0.28;7.70701471478;7.23265789113
25;1481182597.85;1481182598.13;0.28;7.69749305533;7.22611721547
26;1481182598.13;1481182598.4;0.28;7.69732161617;7.2259227201
27;1481182598.4;1481182598.69;0.28;7.68831347093;7.19933016074
28;1481182598.69;1481182598.97;0.28;7.68080379326;7.21991150516
29;1481182598.97;1481182599.25;0.28;7.68080379326;7.21991150516
30;1481182599.25;1481182599.54;0.29;7.68080379285;7.21991150519
